Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Aquil (shumate-),M,United States,USA,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Morten Adamsen,M,Norway,NOR,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Luca Agamennoni,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Christian Ahrens,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Mohamed Al-aich,M,Algeria,ALG,2004,Athina,Rowing,Rowing Men's Single Sculls,No medal
Buffy-Lynne Alexander-williams,F,Canada,CAN,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Wyatt Allen,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Rubn Hoyos,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Catello Amarante,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Salvatore Amitrano,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Richard Archibald,M,Ireland,IRL,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Mario Puente,M,Spain,ESP,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Armando Carrera,M,Cuba,CUB,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Luk Baba,M,Slovakia,SVK,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Nenad Babovi,M,Serbia and Montenegro,SCG,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Cameron Baerg,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Coxless Fours,Silver
Sophie Balmary,F,France,FRA,2004,Athina,Rowing,Rowing Women's Coxless Pairs,No medal
Michiel Bartman,M,Netherlands,NED,2004,Athina,Rowing,Rowing Men's Coxed Eights,Silver
Gabriella Bascelli,F,Italy,ITA,2004,Athina,Rowing,Rowing Women's Double Sculls,No medal
Jonathan Beare,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Andreas Bech,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Daniel Beery,M,United States,USA,2004,Athina,Rowing,Rowing Men's Coxed Eights,Gold
Fabiana Beltrame,F,Brazil,BRA,2004,Athina,Rowing,Rowing Women's Single Sculls,No medal
Gbor Bencsik,M,Hungary,HUN,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Olga Berezneva,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Jean-David Bernard,M,France,FRA,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Cdric Berrest,M,France,FRA,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
Lorenzo Bertini,M,Italy,ITA,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Ren Bertram,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Double Sculls,No medal
Yuliya Bichik,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Bronze
Serhiy Biloushchenko,M,Ukraine,UKR,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,Bronze
Catherine Bishop,F,Great Britain,GBR,2004,Athina,Rowing,Rowing Women's Coxless Pairs,Silver
Khrysa Biskitzi,F,Greece,GRE,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Claudia Blasberg,F,Germany,GER,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,Silver
Sergey Bogdanov,M,Uzbekistan,UZB,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Igor Boraska,M,Croatia,CRO,2004,Athina,Rowing,Rowing Men's Coxless Fours,No medal
Stacey Borgman,F,United States,USA,2004,Athina,Rowing,Rowing Women's Lightweight Double Sculls,No medal
Kathrin (-kppen),F,Germany,GER,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Gold
Robin Bourne-taylor,M,Great Britain,GBR,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
Amber Bradley,F,Australia,AUS,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,Bronze
Iain Brambell,M,Canada,CAN,2004,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,No medal
Manuel Brehmer,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Mariya Brel,F,Belarus,BLR,2004,Athina,Rowing,Rowing Women's Quadruple Sculls,No medal
Scott Brennan,M,Australia,AUS,2004,Athina,Rowing,Rowing Men's Quadruple Sculls,No medal
George Bridgewater,M,New Zealand,NZL,2004,Athina,Rowing,Rowing Men's Coxless Pairs,No medal
Jan-Martin Brer,M,Germany,GER,2004,Athina,Rowing,Rowing Men's Coxed Eights,No medal
